,Income,Customer Lifetime Value,Monthly Premium Auto,Total Claim Amount
103,60475,4330.38602,107,513.6
104,0,9402.729769,130,936.0
105,41837,6966.694527,88,142.062768
106,32303,7694.064293,65,45.152521
107,0,8717.561149,117,561.6
108,40531,5928.748528,74,30.567357
109,79898,2452.977288,62,271.606799
110,56398,6701.571657,85,408.0
111,35257,7556.24034,98,470.4
112,27804,8492.6988,109,784.8
113,45506,7713.494046,66,316.8
114,65196,24084.5352,67,396.082036
115,0,7290.069769,102,489.6
116,20993,4772.943848,133,638.4
117,37839,6806.491395,86,465.633954
118,92711,2469.781334,62,368.400146
119,74665,3103.923041,78,236.902001
120,0,2981.875575,83,582.679087
121,46833,8902.737595,112,64.109663
122,88768,5499.447223,68,326.4
123,28262,15023.59858,192,921.6
124,33555,2509.107875,63,101.89645
125,42780,31221.7481,113,542.4
126,58850,3133.503432,78,143.747794
127,21880,3837.451863,97,424.077159
128,25251,11790.49617,66,316.8
129,0,7838.068321,69,2.704934
130,24188,4305.808345,109,523.2
131,41611,5973.976904,74,113.801497
132,28406,5670.442396,72,192.87572
133,69833,4731.749346,118,828.662719
134,0,8026.379641,74,532.8
135,0,4022.963529,117,975.107098
136,80536,9618.310865,119,53.798708
137,0,2274.775451,63,606.642452
138,97732,9552.926922,79,289.9122
139,61222,10388.55323,89,392.604371
140,0,2470.121222,74,721.242206
141,50335,5619.068508,140,456.52385
142,0,9047.119209,127,1087.995426
143,63221,6692.143668,168,806.4
144,0,3731.504584,96,460.8
145,64495,3660.770258,92,251.992083
146,0,7928.829252,72,345.6
147,28859,5011.751577,67,321.6
148,77330,7988.258292,99,99.257608
149,0,3885.456401,105,504.0
150,24495,2659.337982,70,336.0
151,95697,8564.768226,107,178.006524
152,26372,4885.162511,126,604.8
153,17514,9753.307106,127,8.312729
154,89270,2946.153697,74,316.599228
155,29757,2581.110945,65,312.0
156,51814,3517.385764,92,56.300724
157,24028,9743.350113,82,393.6
158,28142,3873.647046,105,701.708239
159,52705,7649.28199,64,128.705563
160,0,2287.59692,63,679.368378
161,84903,4475.424592,111,497.126827
162,0,8714.922135,118,566.4
163,24910,2248.449633,63,347.857619
164,0,7416.197322,77,554.4
165,21876,7771.158973,68,465.41477
166,0,6968.3419,69,496.8
167,0,4250.282624,61,292.8
168,70699,19776.56654,82,256.813837
169,0,21343.46599,74,355.2
170,27501,2413.139714,63,542.319401
171,15897,15363.84716,101,303.148399
172,25141,8456.961887,73,25.438063
173,0,2189.642522,61,292.8
174,51066,5780.182197,74,787.993313
175,28358,4639.981638,117,84.024413
176,61846,4465.335703,112,215.8182
177,90972,5968.118877,74,232.926145
178,0,5097.763337,74,532.8
179,29549,4076.634665,104,710.433775
180,0,12252.60179,115,552.0
181,39411,16936.27147,217,1122.658899
182,21709,4892.435461,62,408.374746
183,67890,9942.304791,85,408.0
184,0,3735.838129,110,792.0
185,84311,13117.52215,111,532.8
186,99316,4574.524094,114,754.358929
187,54507,5470.060561,138,702.990032
188,64586,2978.84601,76,206.837111
189,61709,6410.967544,82,275.395894
190,94656,4479.023088,111,459.738128
191,0,2383.731879,69,496.8
192,61085,2764.493659,70,336.0
193,89284,7920.105377,67,321.6
194,0,6889.097981,63,302.4
195,31686,3274.194616,81,430.994107
196,56855,9951.707743,255,1836.0
197,53703,2521.555686,67,67.632476
198,0,23706.11337,96,844.481918
199,20396,6047.02516,76,364.8
200,27679,11140.30248,150,722.486994
201,23904,4334.064096,123,590.4
202,65351,2799.74791,69,481.027516
203,0,7923.136624,113,1124.427734
204,0,3688.110888,63,669.682001
205,0,12067.45599,116,1284.093173
206,64459,2924.976721,72,240.259479
207,32961,15014.0927,190,912.0
208,71416,9277.233839,116,556.8
209,68964,6274.123875,78,115.086827
210,78108,3886.647414,98,470.4
211,10621,4386.277558,67,321.6
212,84910,11365.26766,95,383.167471
213,77493,5610.96434,70,307.963291
214,81097,2912.892035,74,355.2
215,96610,6915.729915,85,520.364752
216,30110,6262.663307,159,466.436375
217,22081,6503.397049,84,451.670309
218,0,8007.399376,112,537.6
219,98473,2929.916512,72,345.6
220,97431,5969.55297,74,355.2
221,93870,5473.15987,69,331.2
222,50366,5645.396665,72,428.734656
223,34498,6369.262355,83,398.4
224,16552,11833.76732,103,494.4
225,26787,6121.107929,77,369.6
226,0,5159.369746,74,831.752839
227,43860,2514.59196,65,156.124914
228,21474,8668.611261,114,373.428187
229,18174,4960.965384,66,395.934815
230,0,5504.139033,73,350.4
231,60920,7507.455372,64,231.201886
232,41520,32269.85139,90,289.904105
233,0,5657.031588,152,729.6
234,0,5061.757902,68,326.4
235,72208,5912.783829,73,350.4
236,53863,15182.27975,63,105.765111
237,66446,10747.03094,136,639.464548
238,0,2050.623512,61,292.8
239,64997,2465.444865,63,383.442328
240,64460,5343.121327,66,316.8
241,46618,8119.829071,67,99.085943
242,0,4605.265164,64,307.2
243,49988,6408.785577,84,566.935022
244,0,2376.533508,91,436.8
245,16269,3211.070017,86,412.8
246,72006,5094.522262,64,307.2
247,0,25755.27817,81,388.8
248,0,8672.229719,245,2345.413441
249,44320,8044.73072,67,321.6
250,19782,4001.519098,108,773.470977
251,63933,16706.11699,70,424.883448
252,28224,8544.411077,109,523.2
253,21073,7805.31287,106,508.8
254,63243,6112.756868,77,364.240307
255,20993,4772.943848,133,638.4
256,94827,10979.09559,135,354.729129
257,39161,5004.263818,63,283.995953
258,37534,13223.04379,84,403.2
259,80210,2623.31543,65,20.543176
260,0,17840.19555,62,385.115437
261,30110,5106.111827,64,140.165035
262,21708,17930.60451,68,326.4
263,94731,5457.342569,67,321.6
264,32375,6563.644143,83,398.4
265,16531,4812.525221,63,102.879769
266,32006,29328.04185,94,56.868289
267,81676,5773.520711,72,463.158502
268,71038,6847.1189,86,205.444066
269,0,3595.31286,103,741.6
270,20832,22855.61209,65,56.371967
271,0,7859.414569,113,813.6
272,52405,4115.577437,103,494.4
273,0,5029.638777,133,795.864079
274,26583,4821.418454,128,614.4
275,25486,5004.310469,65,72.438681
276,24065,8630.053943,111,532.8
277,70435,9322.08512,116,67.881546
278,0,16727.56063,76,402.636829
279,39679,3652.532435,92,641.388616
280,0,6158.601171,89,342.481173
281,0,4376.083958,69,331.2
282,53565,5569.456156,71,340.8
283,37574,2576.513006,66,412.101933
284,48259,8346.983233,108,73.700573
285,78532,6323.923864,78,374.4
286,96163,5973.14343,73,350.4
287,0,4706.676993,72,345.6
288,0,8093.410258,114,722.024742
289,72672,5035.744643,63,259.361117
290,99002,9027.867218,112,537.6
291,79494,7288.884849,91,396.295614
292,35704,18042.47942,225,358.281562
293,0,4992.063043,71,653.388564
294,26049,9102.267849,118,121.032372
295,70125,2540.407726,64,92.813396
296,52369,12941.89193,110,528.0
297,0,2365.348601,66,159.636956
298,41770,5720.765064,72,476.156957
299,0,7035.534088,101,727.2
300,31911,2636.97773,67,321.6
301,70051,5395.831967,68,42.078345
302,19683,8382.630118,117,561.6
303,30916,31161.74523,112,200.11606
304,0,2887.742258,80,676.944023
305,0,8714.922135,118,566.4
306,0,25585.72783,116,830.623064
307,60145,10272.6082,132,580.473259
308,63774,4376.363592,111,60.036683
309,25134,5318.89664,67,321.6
310,37057,4719.762191,61,47.53101
311,58577,4428.031583,110,303.872752
312,85857,5879.176092,73,100.620067
313,70602,9416.908485,116,481.339891
314,33816,8288.155579,106,508.8
315,0,32654.8383,153,1101.6
316,89642,4719.450052,121,86.320022
317,60068,3903.474784,98,470.4
318,50044,5457.259678,139,667.2
319,36650,2725.356404,69,56.60333
320,50653,4433.97368,110,262.865172
321,68931,5332.462694,66,309.577946
322,0,2315.094985,73,350.4
323,0,5411.953687,73,365.364581
324,39266,9587.33234,80,384.0
325,0,22103.5072,102,489.6
326,0,9764.945308,98,705.6
327,40864,2567.151468,65,9.51528
328,39035,2650.622781,68,244.564334
329,34923,11264.36334,98,639.105556
330,0,2168.523464,63,453.6
331,0,8610.667489,111,532.8
332,24506,2834.646235,71,511.2
333,0,8930.139728,82,554.522969
334,52220,5536.386959,70,336.0
335,0,2840.85429,74,402.449823
336,53554,8082.880956,67,327.020539
337,34476,5254.734278,67,5.3953
338,0,5116.237577,70,131.401291
339,68205,3034.646997,76,99.382943
340,0,8024.89992,119,856.8
341,53690,18211.14319,154,739.2
342,0,5121.563312,72,518.4
343,0,2150.178588,61,292.8
344,74454,5595.389905,71,340.8
345,0,7562.824036,73,350.4
346,29664,5385.853211,71,340.8
347,15680,4718.558501,64,260.879903
348,47272,9422.567923,79,64.546877
349,21585,3605.860265,92,441.6
350,23827,7762.590564,106,37.910623
351,69906,23444.90045,74,202.860399
352,0,2558.178159,72,345.6
353,89879,5123.170887,63,94.030308
354,0,2537.744494,69,331.2
355,46131,2969.593296,74,355.2
356,54514,4363.124641,109,286.234931
357,0,5884.308607,161,1159.2
358,96668,5272.191556,66,316.8
359,78879,5509.895664,69,466.570791
360,0,16313.68349,69,331.2
361,0,5678.050167,76,364.8
362,0,12101.20884,112,1252.406235
363,29735,2453.570794,69,331.2
364,23082,5075.66267,65,312.0
365,53984,3214.979402,80,421.484456
366,52135,12275.34309,156,430.505942
367,17576,2722.210707,71,398.502948
368,29486,2457.440923,62,7.646763
369,58557,3554.845264,88,55.510526
370,25632,4929.549699,63,351.270869
371,0,8036.45034,112,806.4
372,18768,4276.915328,68,647.454583
373,33190,33473.34946,106,508.8
374,47945,5960.581363,74,128.43823
375,58778,44795.46942,126,302.033971
376,15192,3832.118106,100,480.0
377,51859,6837.932624,171,1003.160633
378,23422,5285.26816,72,518.4
379,21604,3096.511217,79,379.2
380,79298,3589.710715,90,244.362072
381,76731,2582.408525,64,201.455005
382,67282,2487.729726,62,297.6
383,48534,13575.67599,115,552.0
384,77678,4685.504251,116,741.418485
385,48412,28685.82785,104,707.430832
386,33837,2764.032126,72,305.575785
387,23712,6183.111464,85,376.126419
388,28142,3873.647046,105,701.708239
389,72196,18929.3306,68,152.184244
390,68197,5553.295758,69,176.819414
391,75248,5011.259184,63,104.454624
392,0,10442.44633,98,941.718054
393,0,2199.61781,65,468.0
394,41546,8709.845263,111,121.306839
395,46998,7484.310483,96,460.8
396,57099,2613.023132,67,67.859881
397,33897,9080.639651,114,539.843003
398,59207,13770.97618,116,556.8
399,40171,2876.822941,73,350.4
400,67798,5548.031892,69,331.2
401,21665,5097.526248,136,765.709629
402,0,24143.87556,87,626.4
403,0,3538.059456,67,321.6
404,34226,29091.23936,244,494.395024
405,65989,19834.20115,123,115.545086
406,30686,4731.366975,61,19.938981
407,0,35537.846,113,799.926741
408,20090,34611.37896,109,523.2
409,0,20216.30883,183,878.4
410,77094,13976.51925,176,444.470676
411,97413,5904.088162,73,268.819985
412,79189,5595.835041,69,331.2
413,0,2294.303629,62,297.6
414,18577,6273.911874,86,412.8
415,0,3726.727996,112,806.4
416,40783,5285.118669,67,321.6
417,0,5110.680779,74,532.8
418,17483,7126.596501,183,1317.6
419,84394,4601.634099,114,691.412378
420,0,9155.239699,127,804.811859
421,41440,14808.05624,62,297.6
422,0,8901.678357,136,1090.86434
423,98132,5734.598243,71,50.587035
424,0,4177.696973,112,537.6
425,88220,27776.28906,230,151.528482
426,58327,10364.34749,129,347.075948
427,25950,7851.901368,66,271.697529
428,20993,4772.943848,133,638.4
429,65726,14226.50485,177,849.6
430,0,4031.104947,63,639.45899
431,39783,2794.907476,72,345.6
432,58842,4362.931238,110,528.0
433,25629,9624.524417,124,595.2
434,48567,5015.009472,130,624.0
435,0,6948.422239,196,1337.063487
436,33746,2896.918767,74,355.2
437,22254,21903.91364,79,125.194389
438,65974,9028.821403,113,235.220971
439,0,5303.759534,76,395.34111
440,17161,4165.354461,113,542.4
441,0,5123.768112,74,772.798511
442,0,9492.342964,132,633.6
443,0,8204.863191,73,350.4
444,67752,9877.295699,131,168.517149
445,25398,4815.009736,64,307.2
446,0,6277.011679,88,633.6
447,33321,8260.639809,105,504.0
448,0,2549.450038,78,845.654042
449,68798,4502.679656,114,92.915251
450,20325,3803.921781,100,668.29397
451,13129,8635.4035,117,700.901632
452,0,5510.558964,73,525.6
453,49080,3585.884123,91,25.299
454,42536,4889.25278,63,375.330097
455,29926,2756.941661,74,418.233667
456,0,3289.547398,86,398.240791
457,21450,10937.1785,138,938.513425
458,33345,7375.567916,65,338.619869
459,15752,10110.77818,90,339.344531
460,40169,5119.414293,65,302.818833
461,26049,8533.832013,113,619.165344
462,0,2224.768,68,326.4
463,55411,8042.803784,100,259.561195
464,12459,2554.437138,70,336.0
465,64620,18073.93999,76,364.8
466,83140,2430.506586,61,179.161843
467,0,3167.658442,92,662.4
468,54422,5465.603983,68,75.501852
469,68309,10357.51422,131,306.983596
470,56621,2537.813878,65,84.026848
471,38977,2821.947219,70,139.489926
472,0,7757.128146,111,607.4459
473,0,4079.132667,114,631.124372
474,0,5955.544552,83,628.023494
475,83235,14158.61364,70,336.0
476,0,8487.238032,74,426.655599
477,32390,6285.476868,80,91.417923
478,66538,11473.48149,95,317.844812
479,0,2310.882998,64,460.8
480,76358,23594.6802,66,86.461582
481,43860,2514.59196,65,156.124914
482,55350,5380.898636,67,321.6
483,12964,4770.550911,65,362.774545
484,33288,6756.651404,86,221.856184
485,0,5936.011773,84,980.169081
486,56168,3570.760509,88,614.675906
487,0,6019.960469,92,662.4
488,23105,5426.863953,69,331.2
489,36218,2730.313804,68,145.252168
490,52275,4982.681374,62,374.240783
491,49665,8769.266756,74,355.2
492,32471,4220.613534,110,528.0
493,0,11537.50507,86,619.2
494,62773,5887.182043,73,80.669257
495,76694,4700.583771,117,561.6
496,55687,10963.95723,276,1324.8
497,0,2523.171245,70,504.0
498,36633,3757.804716,96,460.8
499,77060,12941.73353,106,468.566133
500,92600,3764.465074,94,842.43785
501,0,6889.557028,66,475.2
502,0,3623.454198,111,1171.93117
503,64801,7582.113842,64,268.471802
504,45257,8277.74558,103,494.4
505,26854,2576.455597,66,475.2
506,85840,8205.387936,102,138.722385
507,26463,19582.46887,72,345.6
508,30689,6481.526576,81,467.24802
509,29590,2599.310879,66,467.503236
510,25965,9830.337629,253,1214.4
511,17269,10442.65139,139,667.2
512,90330,36057.53702,137,192.085299
513,0,8470.036773,113,619.973889
514,0,8278.786492,110,1002.782553
515,0,4788.932598,67,321.6
516,18558,3087.999917,80,384.0
517,46384,4443.736209,113,251.774574
518,0,7984.086473,72,866.208321
519,42303,7180.971028,180,1210.920949
520,71731,15656.03434,130,599.648466
521,51066,5780.182197,74,787.993313
522,0,20714.94043,203,2027.724442
523,0,5337.352409,86,619.2
524,0,5050.826183,69,72.852047
525,26173,5116.624022,68,449.819671
526,24445,7268.736958,63,302.4
527,72302,2616.613903,66,316.8
528,27208,3738.436222,102,489.6
529,36650,2725.356404,69,56.60333
530,30855,5453.861203,68,259.060862
531,0,6846.150323,95,456.0
532,99960,6172.914199,76,364.8
533,0,10346.32454,98,470.4
534,55873,6997.008618,88,299.356083
535,18052,4196.257691,111,699.1679
536,28937,7858.109763,104,117.959654
537,0,6064.343994,86,545.240341
538,0,17497.52201,73,350.4
539,12829,8970.647312,118,328.231432
540,92163,5923.117229,73,66.568642
541,17588,35850.59935,192,1382.4
542,82302,4331.460674,106,722.178166
543,0,13309.33517,127,609.6
544,70340,4528.50489,113,542.4
545,0,2791.906514,74,532.8
546,50825,8092.87696,102,369.614729
547,93459,7996.00748,99,655.41333
548,86148,5129.738992,65,312.0
549,27048,5697.175238,72,345.6
550,73259,9217.130629,115,673.34265
551,35482,10208.92761,129,619.2
552,29462,4170.687348,107,513.6
553,67801,4505.405812,115,23.810491
554,0,3107.568648,94,451.2
555,16042,5528.664986,73,350.4
556,28056,5045.866663,64,307.2
557,16495,2962.722482,85,408.0
558,41163,8665.956372,108,231.922173
559,0,11413.44115,161,772.8
560,33799,15488.43196,109,664.980242
561,0,6048.574243,61,292.8
562,87747,5934.741492,147,46.492039
563,35695,3543.232138,90,432.0
564,90985,3490.028304,87,78.085149
565,0,3683.099864,101,564.466556
566,66839,5989.773931,154,739.2
567,0,12500.84302,165,792.0
568,79090,8609.158215,107,289.040734
569,24825,2497.45507,64,155.938593
570,26806,7019.177186,63,302.4
571,56835,5387.926265,67,326.549425
572,0,6165.557517,88,653.65668
573,46135,2730.20294,69,103.935601
574,0,5162.116944,73,809.532341
575,22862,7937.064822,67,321.6
576,21450,8608.157233,110,528.0
577,95854,2632.545795,65,312.0
578,44897,7785.004214,99,580.72531
579,54040,8255.76385,103,59.987126
580,53265,4980.825042,62,238.005074
581,0,7457.237794,198,1577.674417
582,43817,12302.76244,62,245.447622
583,54780,6862.508337,88,135.26125
584,0,9048.983447,119,571.2
585,67798,5548.031892,69,331.2
586,21442,8312.681598,118,566.4
587,27615,2389.980951,62,297.6
588,17622,4458.113369,65,312.0
589,50200,5295.741716,135,637.063458
590,0,3839.606117,112,537.6
591,0,3731.504584,96,460.8
592,73570,2778.903705,70,75.936096
593,0,4016.541995,111,799.2
594,0,8236.917193,106,603.058114
595,36631,2491.317024,62,67.530904
596,35895,2908.875917,73,312.921256
597,40864,4282.947971,109,166.937747
598,0,8341.623748,118,566.4
599,93018,5090.781344,63,135.382194
600,70014,7366.1883,62,17.742954
601,48875,2436.875126,61,1.838367
602,67969,8852.688689,74,197.776009
603,0,23875.47675,108,612.102262
604,68665,5600.496541,69,331.2
605,26802,4636.54647,66,316.8
606,0,7573.345057,110,1193.036154
607,45345,14696.63549,125,600.0
608,17101,12298.6863,113,542.4
609,32051,7724.840065,193,926.4
610,81139,5946.670679,74,392.6364
611,63834,8000.545061,100,215.226476
612,37548,6457.560953,81,160.598662
613,0,7281.44014,69,371.803029
614,72421,2592.437797,65,312.0
615,83102,4678.423394,116,443.670399
616,28432,13869.92705,118,612.300581
617,83707,8717.777831,108,290.391526
618,63259,5233.986808,65,316.795337
619,0,4764.189722,67,405.527937
620,63860,2472.469209,62,208.598246
621,67176,5608.316348,72,345.6
622,86132,5505.057003,68,301.437365
623,28519,2606.208503,66,456.473115
624,39102,10481.94383,88,152.338562
625,0,3256.766388,89,491.755368
626,97298,30475.78048,128,48.517439
627,41986,6364.902164,84,430.375049
628,0,9468.509337,88,633.6
629,17291,5631.451866,73,350.4
630,0,7780.999262,74,246.489123
631,37256,9816.528302,62,128.969729
632,96306,7519.133631,95,185.355353
633,14290,10179.71704,271,1300.8
634,37038,2772.839235,71,9.071305
635,90760,4037.501846,103,133.475315
636,20668,21435.87782,188,902.4
637,54480,2676.867914,67,321.6
638,16244,2523.959554,68,623.223617
639,22436,6988.401604,89,427.2
640,25544,2695.963857,68,326.4
641,28728,2673.319593,67,321.6
642,57449,12157.32992,103,494.4
643,83318,2957.764017,73,211.336937
644,55561,7433.820995,63,227.872071
645,0,3099.538005,102,862.762957
646,55308,8415.684559,107,513.6
647,36068,26843.12452,97,113.367765
648,48804,13057.17071,112,537.6
649,0,9599.950239,131,943.2
650,55790,8535.108918,111,117.672722
651,70258,8293.481886,69,225.145949
652,0,6846.150323,95,456.0
653,47274,6636.859781,83,182.432565
654,0,5802.83547,78,644.755653
655,0,5077.320916,73,525.6
656,15818,12427.39371,107,333.886816
657,44552,10990.59477,137,311.103582
658,64348,3435.25008,86,212.391975
659,0,6624.61183,62,297.6
660,88997,5757.442258,72,174.041566
661,77411,2691.568951,67,257.900458
662,10312,2886.451602,78,486.278557
663,0,5341.438779,72,345.6
664,96263,4160.018087,103,1.924709
665,28919,2846.24535,72,518.4
666,0,4770.256564,68,326.4
667,41869,5059.616223,64,262.12205
668,0,9095.744565,128,921.6
669,32808,2688.863963,68,541.695658
670,79780,8277.637562,68,326.4
671,91025,9057.935331,112,327.682669
672,33043,3801.750407,95,456.0
673,69442,9339.341599,118,1265.570302
674,0,2520.12318,70,63.043197
675,0,4984.095342,70,336.0
676,47234,2595.747991,65,15.631363
677,86863,7437.693335,92,441.6
678,25805,14536.78759,66,375.866091
679,43676,5913.305869,76,364.8
680,59855,2771.663013,74,355.2
681,35296,29194.36639,126,452.616872
682,36576,9880.38582,125,113.450122
683,28513,15114.40241,100,480.0
684,85448,5759.91084,72,16.03451
685,23791,8495.164213,110,615.27228
686,20597,4381.184212,112,615.256301
687,56940,6997.827397,87,512.66245
688,93210,11430.58845,71,74.523935
689,48992,7482.486135,94,426.072946
690,53736,8596.916624,71,169.287785
691,25378,7854.960831,66,419.464143
692,76731,2582.408525,64,201.455005
693,0,2275.363967,64,662.69318
694,69379,4118.588554,103,494.4
695,57449,12157.32992,103,494.4
696,0,5152.819636,68,326.4
697,0,6512.976472,93,669.6
698,33806,27789.69235,89,395.729716
699,77048,4191.966092,103,141.199465
700,74965,10928.40709,90,58.557552
701,34095,7615.381271,63,302.4
702,0,2004.350666,66,316.8
703,96045,2434.681155,61,8.582971
704,86355,14195.36028,118,285.418473
705,27824,9427.684903,118,566.4
706,42995,11982.42085,101,410.508316
707,21235,3102.789546,79,244.23135
708,74585,4222.631209,106,218.598065
709,41833,4023.814439,103,643.826716
710,23908,5297.151805,70,336.0
711,0,21423.63723,65,312.0
712,61953,4416.206243,113,497.047297
713,0,4639.035171,142,1022.4
714,0,4863.544585,137,657.6
715,73760,25830.90982,107,230.245772
716,23333,2974.314896,74,5.622751
717,0,2064.458781,61,292.8
718,20440,10064.60828,128,614.4
719,86073,5500.01251,136,333.5671
720,50943,5489.214062,139,667.2
721,19003,2612.756658,71,34.651305
722,46703,8573.463947,108,678.100487
723,14072,24127.50402,71,511.2
724,21733,8550.386579,73,525.6
725,20811,2308.648034,61,292.8
726,11904,4254.620669,61,292.8
727,43490,8982.850377,114,174.588413
728,57340,7868.165983,67,159.391681
729,49088,7704.248723,97,698.4
730,47761,10552.16999,131,232.711071
731,70930,11681.37428,99,190.43446
732,61281,8737.837514,110,79.865605
733,0,5454.890731,82,393.6
734,25290,7705.283329,66,382.085897
735,24239,7039.262387,88,48.348319
736,82664,8838.085637,114,133.425609
737,83210,8733.527338,110,528.0
738,38736,9597.474777,81,561.414794
739,0,4506.660224,66,316.8
740,55437,17857.97233,64,445.287788
741,0,4737.871725,130,23.820158
742,0,5426.136238,71,407.99684
743,29066,7998.143771,100,844.229478
744,54337,2897.620704,72,345.6
745,67616,11599.50219,96,340.306584
746,41082,15147.93055,63,106.647493
747,0,5435.767832,73,626.116259
748,36650,2725.356404,69,56.60333
749,50631,13297.71225,112,784.65781
750,19592,9927.049694,92,441.6
751,0,17771.54902,114,547.2
752,55761,18269.27017,115,86.27772
753,17576,2722.210707,71,398.502948
754,41449,7083.212357,89,63.516572
755,14290,10179.71704,271,1300.8
756,62007,5889.509098,73,120.015609
757,21921,15771.39342,206,1254.137899
758,42621,5288.173294,66,316.8
759,0,27580.55396,87,417.6
760,63786,7778.532347,196,798.002689
761,0,7341.861257,104,82.041684
762,82877,7919.197048,99,22.819088
763,0,2163.870179,63,302.4
764,10475,9787.808819,88,422.4
765,21952,5207.640754,66,316.8
766,49721,21147.27716,132,639.971388
767,88340,12280.76661,102,489.6
768,0,2441.394244,65,312.0
769,0,6535.560574,65,468.0
770,24589,9206.598256,82,511.497882
771,69379,4118.588554,103,494.4
772,73769,4838.208972,61,239.540223
773,66670,4625.548098,114,518.180364
774,88854,14042.103,118,715.252366
775,31266,7546.613549,193,926.4
776,43860,2514.59196,65,156.124914
777,89284,5170.358435,133,402.070719
778,67267,13917.37715,89,94.814032
779,79270,11318.13083,95,456.0
780,36692,4276.363627,109,523.2
781,0,4322.240343,119,571.2
782,0,8002.308333,107,513.6
783,0,3885.456401,105,504.0
784,0,4471.778239,135,972.0
785,44624,8496.352846,71,73.883044
786,0,22500.88348,71,340.8
787,19614,16301.9676,85,574.024018
788,0,2319.735908,64,632.715382
789,83846,8717.049833,74,355.2
790,51159,2860.111745,72,4.238626
791,83772,2453.408288,62,42.248087
792,66839,5989.773931,154,739.2
793,88440,24980.22553,70,27.145151
794,25666,7482.639506,63,270.002766
795,52926,2457.576007,61,292.8
796,0,2379.741171,67,494.946438
797,40001,8286.964421,70,142.567008
798,0,2393.915369,70,425.266308
799,18024,4657.159469,65,312.0
800,0,13197.92893,68,326.4
801,23220,2803.916726,74,251.334247
